id,data_subject_id,host,event_id,text,region,label
631,user1548,PC-139,4698,A logon attempt was made using explicit credentials. User: user1548,Victoria,0
632,user1818,PC-112,4625,A service was installed in the system. Service: event by user1818,Victoria,0
633,user1647,PC-282,4698,An account was successfully logged on. User: user1647 from PC-282,ACT,0
634,user1981,PC-964,1116,An account was successfully logged on. User: user1981 from PC-964,South Australia,0
636,user1994,PC-257,7045,An account was successfully logged on. User: user1994 from PC-257,Victoria,0
637,user1574,PC-411,1116,An account was locked out. User: user1574,Victoria,0
638,user1076,PC-733,4625,An account was successfully logged on. User: user1076 from PC-733,Victoria,0
639,user1049,PC-307,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-307,ACT,0
640,user1255,PC-649,4697,An account was locked out. User: user1255,New South Wales,0
641,user1773,PC-996,4698,An account was locked out. User: user1773,Victoria,0
642,user1425,PC-393,4698,A service was installed in the system. Service: size by user1425,Queensland,0
643,user1066,PC-267,7045,An account was locked out. User: user1066,New South Wales,0
644,user1814,PC-549,4624,A service was installed in the system. Service: must by user1814,Queensland,0
645,user1289,PC-804,1116,Scheduled task created. Name: trial by user1289,Northern Territory,0
646,user1929,PC-117,4697,A logon attempt was made using explicit credentials. User: user1929,Northern Territory,0
647,user1520,PC-106,4624,Scheduled task created. Name: level by user1520,Northern Territory,0
648,user1670,PC-876,4698,An account was locked out. User: user1670,Northern Territory,0
649,user1680,PC-766,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-766,South Australia,0
650,user1912,PC-241,1116,A logon attempt was made using explicit credentials. User: user1912,Queensland,0
651,user1842,PC-287,4697,A logon attempt was made using explicit credentials. User: user1842,Victoria,0
652,user1522,PC-567,4698,An account was locked out. User: user1522,South Australia,0
653,user1591,PC-607,4625,An account was successfully logged on. User: user1591 from PC-607,Queensland,0
654,user1400,PC-512,7045,Scheduled task created. Name: north by user1400,New South Wales,0
655,user1627,PC-813,4698,A service was installed in the system. Service: affect by user1627,Queensland,0
656,user1699,PC-388,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-388,Tasmania,0
658,user1150,PC-599,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-599,Victoria,0
659,user1312,PC-655,4625,Scheduled task created. Name: rather by user1312,Tasmania,0
660,user1768,PC-351,1116,Scheduled task created. Name: fill by user1768,Northern Territory,0
661,user1101,PC-779,4697,A logon attempt was made using explicit credentials. User: user1101,ACT,0
662,user1292,PC-481,4625,A logon attempt was made using explicit credentials. User: user1292,New South Wales,0
663,user1623,PC-744,4625,A service was installed in the system. Service: cut by user1623,Queensland,0
664,user1158,PC-835,4624,A service was installed in the system. Service: future by user1158,Western Australia,0
665,user1526,PC-871,4697,A logon attempt was made using explicit credentials. User: user1526,Tasmania,0
666,user1729,PC-522,4697,An account was successfully logged on. User: user1729 from PC-522,Tasmania,0
667,user1526,PC-257,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-257,Tasmania,0
668,user1304,PC-741,7045,A service was installed in the system. Service: old by user1304,Western Australia,0
669,user1739,PC-332,4624,A service was installed in the system. Service: here by user1739,ACT,0
671,user1399,PC-999,4625,A service was installed in the system. Service: this by user1399,New South Wales,0
672,user1711,PC-707,7045,A logon attempt was made using explicit credentials. User: user1711,ACT,0
673,user1002,PC-789,1116,A service was installed in the system. Service: couple by user1002,Western Australia,0
674,user1580,PC-879,1116,A logon attempt was made using explicit credentials. User: user1580,Victoria,0
675,user1057,PC-725,7045,Scheduled task created. Name: like by user1057,South Australia,0
676,user1534,PC-690,4624,A service was installed in the system. Service: effect by user1534,Northern Territory,0
678,user1863,PC-955,7045,An account was locked out. User: user1863,Northern Territory,0
679,user1776,PC-557,4697,A service was installed in the system. Service: eye by user1776,Northern Territory,0
680,user1126,PC-494,1116,A service was installed in the system. Service: set by user1126,South Australia,0
682,user1098,PC-674,7045,Malware alert from Defender. Detection: Worm:Win32 on PC-674,ACT,0
683,user1183,PC-380,4697,An account was successfully logged on. User: user1183 from PC-380,Northern Territory,0
684,user1576,PC-908,4625,A logon attempt was made using explicit credentials. User: user1576,New South Wales,0
685,user1840,PC-739,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-739,Northern Territory,0
686,user1366,PC-536,7045,An account was locked out. User: user1366,Western Australia,0
687,user1706,PC-169,4625,A service was installed in the system. Service: ten by user1706,New South Wales,0
689,user1722,PC-363,4697,An account was successfully logged on. User: user1722 from PC-363,Tasmania,0
690,user1289,PC-100,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-100,Northern Territory,0
691,user1705,PC-256,7045,A logon attempt was made using explicit credentials. User: user1705,Western Australia,0
692,user1111,PC-133,4624,An account was locked out. User: user1111,New South Wales,0
693,user1453,PC-540,1116,An account was successfully logged on. User: user1453 from PC-540,Tasmania,0
694,user1670,PC-288,7045,A logon attempt was made using explicit credentials. User: user1670,Northern Territory,0
695,user1882,PC-504,4697,Scheduled task created. Name: offer by user1882,Queensland,0
696,user1814,PC-730,1116,An account was locked out. User: user1814,Queensland,0
697,user1921,PC-412,4625,An account was locked out. User: user1921,South Australia,0
698,user1159,PC-193,7045,A logon attempt was made using explicit credentials. User: user1159,Victoria,0
699,user1240,PC-638,4697,A logon attempt was made using explicit credentials. User: user1240,Northern Territory,0
700,user1834,PC-586,7045,A logon attempt was made using explicit credentials. User: user1834,Victoria,0
702,user1280,PC-934,1116,Scheduled task created. Name: hotel by user1280,ACT,0
703,user1361,PC-916,4624,A service was installed in the system. Service: girl by user1361,Western Australia,0
705,user1216,PC-369,4624,Scheduled task created. Name: main by user1216,Northern Territory,0
707,user1661,PC-338,4625,A service was installed in the system. Service: his by user1661,Queensland,0
708,user1181,PC-773,4625,An account was locked out. User: user1181,New South Wales,0
709,user1385,PC-402,4698,A logon attempt was made using explicit credentials. User: user1385,South Australia,0
710,user1136,PC-106,7045,An account was locked out. User: user1136,Tasmania,0
711,user1577,PC-896,1116,A service was installed in the system. Service: strategy by user1577,ACT,0
712,user1300,PC-144,4625,A logon attempt was made using explicit credentials. User: user1300,Queensland,0
713,user1408,PC-153,4625,A logon attempt was made using explicit credentials. User: user1408,Tasmania,0
714,user1812,PC-590,4698,A service was installed in the system. Service: field by user1812,New South Wales,0
715,user1761,PC-626,4697,A service was installed in the system. Service: challenge by user1761,Western Australia,0
716,user1020,PC-221,4698,An account was locked out. User: user1020,ACT,0
717,user1890,PC-453,4624,An account was successfully logged on. User: user1890 from PC-453,ACT,0
718,user1809,PC-121,7045,A service was installed in the system. Service: everyone by user1809,Northern Territory,0
719,user1535,PC-819,4697,Scheduled task created. Name: check by user1535,South Australia,0
720,user1027,PC-131,4698,An account was successfully logged on. User: user1027 from PC-131,Tasmania,0
721,user1059,PC-566,1116,Scheduled task created. Name: face by user1059,Queensland,0
722,user1165,PC-834,1116,A service was installed in the system. Service: clear by user1165,Western Australia,0
723,user1819,PC-662,4697,An account was locked out. User: user1819,South Australia,0
725,user1938,PC-505,4697,An account was successfully logged on. User: user1938 from PC-505,Northern Territory,0
726,user1527,PC-826,4625,A service was installed in the system. Service: agreement by user1527,New South Wales,0
727,user1392,PC-723,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-723,South Australia,0
728,user1342,PC-659,4698,An account was locked out. User: user1342,New South Wales,0
730,user1804,PC-190,4625,An account was successfully logged on. User: user1804 from PC-190,Northern Territory,0
731,user1641,PC-120,4698,Scheduled task created. Name: quickly by user1641,Tasmania,0
732,user1979,PC-101,1116,Scheduled task created. Name: continue by user1979,Northern Territory,0
733,user1826,PC-883,7045,An account was successfully logged on. User: user1826 from PC-883,South Australia,0
734,user1958,PC-505,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-505,South Australia,0
735,user1049,PC-225,4624,A service was installed in the system. Service: ever by user1049,ACT,0
736,user1962,PC-890,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-890,Western Australia,0
738,user1405,PC-674,1116,A service was installed in the system. Service: machine by user1405,Victoria,0
739,user1219,PC-658,1116,A logon attempt was made using explicit credentials. User: user1219,Victoria,0
740,user1801,PC-925,1116,A service was installed in the system. Service: play by user1801,South Australia,0
741,user1827,PC-552,4697,Malware alert from Defender. Detection: Trojan:Win32 on PC-552,Queensland,0
742,user1787,PC-191,4697,Scheduled task created. Name: book by user1787,Victoria,0
743,user1083,PC-535,4624,A logon attempt was made using explicit credentials. User: user1083,South Australia,0
744,user1141,PC-159,4625,Malware alert from Defender. Detection: Worm:Win32 on PC-159,Northern Territory,0
745,user1414,PC-356,4624,An account was successfully logged on. User: user1414 from PC-356,South Australia,0
746,user1747,PC-424,4625,An account was successfully logged on. User: user1747 from PC-424,Tasmania,0
747,user1763,PC-504,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-504,New South Wales,0
748,user1120,PC-220,4698,A logon attempt was made using explicit credentials. User: user1120,Western Australia,0
749,user1280,PC-486,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-486,ACT,0
750,user1443,PC-696,4698,An account was successfully logged on. User: user1443 from PC-696,ACT,0
751,user1756,PC-658,4698,Scheduled task created. Name: stand by user1756,ACT,0
752,user1779,PC-141,7045,An account was successfully logged on. User: user1779 from PC-141,Victoria,0
753,user1762,PC-155,1116,A logon attempt was made using explicit credentials. User: user1762,South Australia,0
754,user1363,PC-890,4624,An account was successfully logged on. User: user1363 from PC-890,ACT,0
755,user1836,PC-118,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-118,Northern Territory,0
756,user1427,PC-590,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-590,ACT,0
757,user1682,PC-753,4625,A service was installed in the system. Service: book by user1682,Tasmania,0
758,user1093,PC-220,7045,Scheduled task created. Name: its by user1093,Western Australia,0
759,user1562,PC-277,4697,A service was installed in the system. Service: myself by user1562,Queensland,0
760,user1502,PC-739,1116,Scheduled task created. Name: image by user1502,Victoria,0
761,user1139,PC-393,4697,Scheduled task created. Name: energy by user1139,Northern Territory,0
762,user1735,PC-529,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-529,ACT,0
763,user1546,PC-552,1116,An account was successfully logged on. User: user1546 from PC-552,Victoria,0
764,user1535,PC-130,7045,A logon attempt was made using explicit credentials. User: user1535,South Australia,0
765,user1398,PC-395,4698,An account was successfully logged on. User: user1398 from PC-395,Queensland,0
766,user1816,PC-520,7045,An account was locked out. User: user1816,New South Wales,0
767,user1653,PC-750,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-750,Western Australia,0
768,user1800,PC-340,1116,Scheduled task created. Name: once by user1800,Victoria,0
769,user1557,PC-422,4697,An account was successfully logged on. User: user1557 from PC-422,ACT,0
770,user1979,PC-210,4698,A logon attempt was made using explicit credentials. User: user1979,Northern Territory,0
771,user1583,PC-235,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-235,Victoria,0
772,user1817,PC-223,1116,An account was locked out. User: user1817,Northern Territory,0
773,user1642,PC-304,4625,A logon attempt was made using explicit credentials. User: user1642,ACT,0
774,user1885,PC-549,4624,An account was successfully logged on. User: user1885 from PC-549,Victoria,0
775,user1342,PC-707,4697,A logon attempt was made using explicit credentials. User: user1342,New South Wales,0
776,user1466,PC-499,4697,Malware alert from Defender. Detection: Trojan:Win32 on PC-499,New South Wales,0
777,user1974,PC-400,4697,Malware alert from Defender. Detection: Trojan:Win32 on PC-400,Queensland,0
781,user1365,PC-130,7045,A service was installed in the system. Service: summer by user1365,Tasmania,0
782,user1172,PC-530,1116,Scheduled task created. Name: collection by user1172,New South Wales,0
783,user1408,PC-793,7045,Scheduled task created. Name: drop by user1408,Tasmania,0
784,user1937,PC-429,4697,Scheduled task created. Name: store by user1937,New South Wales,0
785,user1449,PC-422,4698,An account was successfully logged on. User: user1449 from PC-422,Tasmania,0
786,user1489,PC-662,4625,A logon attempt was made using explicit credentials. User: user1489,Tasmania,0
787,user1663,PC-787,4697,A service was installed in the system. Service: but by user1663,New South Wales,0
788,user1232,PC-614,4697,An account was successfully logged on. User: user1232 from PC-614,Queensland,0
789,user1000,PC-513,4625,Scheduled task created. Name: anything by user1000,ACT,0
790,user1234,PC-898,1116,An account was successfully logged on. User: user1234 from PC-898,Victoria,0
791,user1843,PC-402,4698,A logon attempt was made using explicit credentials. User: user1843,South Australia,0
792,user1698,PC-362,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-362,South Australia,0
793,user1161,PC-912,4697,A logon attempt was made using explicit credentials. User: user1161,ACT,0
794,user1720,PC-732,1116,An account was locked out. User: user1720,New South Wales,0
795,user1997,PC-138,7045,A service was installed in the system. Service: name by user1997,South Australia,0
796,user1439,PC-482,4697,An account was locked out. User: user1439,Western Australia,0
798,user1063,PC-455,4624,A service was installed in the system. Service: human by user1063,New South Wales,0
799,user1959,PC-890,4625,Malware alert from Defender. Detection: Worm:Win32 on PC-890,South Australia,0
800,user1795,PC-981,7045,An account was successfully logged on. User: user1795 from PC-981,South Australia,0
802,user1683,PC-594,4698,An account was locked out. User: user1683,South Australia,0
803,user1732,PC-828,1116,An account was locked out. User: user1732,ACT,0
804,user1560,PC-728,4625,A service was installed in the system. Service: guy by user1560,Tasmania,0
805,user1284,PC-137,7045,An account was locked out. User: user1284,ACT,0
806,user1847,PC-400,4624,A service was installed in the system. Service: kid by user1847,New South Wales,0
807,user1349,PC-179,4697,A service was installed in the system. Service: candidate by user1349,Tasmania,0
808,user1068,PC-122,4697,An account was locked out. User: user1068,Northern Territory,0
809,user1892,PC-861,4624,An account was locked out. User: user1892,New South Wales,0
810,user1006,PC-931,7045,A service was installed in the system. Service: allow by user1006,Western Australia,0
811,user1440,PC-880,4625,An account was successfully logged on. User: user1440 from PC-880,ACT,0
812,user1029,PC-844,4625,An account was locked out. User: user1029,Queensland,0
813,user1724,PC-573,1116,Scheduled task created. Name: parent by user1724,Queensland,0
815,user1136,PC-649,4624,A logon attempt was made using explicit credentials. User: user1136,Tasmania,0
816,user1072,PC-189,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-189,Western Australia,0
817,user1551,PC-133,1116,A logon attempt was made using explicit credentials. User: user1551,Tasmania,0
819,user1346,PC-418,7045,A logon attempt was made using explicit credentials. User: user1346,Queensland,0
820,user1082,PC-107,4698,Scheduled task created. Name: book by user1082,Western Australia,0
821,user1158,PC-569,4698,A logon attempt was made using explicit credentials. User: user1158,Western Australia,0
822,user1143,PC-938,4698,Malware alert from Defender. Detection: Worm:Win32 on PC-938,South Australia,0
823,user1887,PC-102,4697,A service was installed in the system. Service: peace by user1887,New South Wales,0
824,user1032,PC-815,4698,Scheduled task created. Name: stay by user1032,Victoria,0
827,user1829,PC-449,1116,Scheduled task created. Name: standard by user1829,ACT,0
828,user1874,PC-299,4697,A service was installed in the system. Service: ever by user1874,Victoria,0
829,user1516,PC-174,7045,Malware alert from Defender. Detection: Worm:Win32 on PC-174,South Australia,0
830,user1770,PC-742,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-742,Tasmania,0
831,user1800,PC-737,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-737,Victoria,0
832,user1930,PC-873,7045,Scheduled task created. Name: dinner by user1930,Tasmania,0
833,user1415,PC-464,4697,Malware alert from Defender. Detection: Trojan:Win32 on PC-464,Western Australia,0
834,user1745,PC-357,4624,Scheduled task created. Name: tend by user1745,Northern Territory,0
835,user1508,PC-578,4698,An account was locked out. User: user1508,South Australia,0
836,user1804,PC-152,4698,A service was installed in the system. Service: worker by user1804,Northern Territory,0
837,user1280,PC-725,1116,A service was installed in the system. Service: can by user1280,ACT,0
839,user1637,PC-735,4625,A service was installed in the system. Service: former by user1637,Western Australia,0
841,user1488,PC-680,4624,Scheduled task created. Name: senior by user1488,South Australia,0
842,user1893,PC-718,4625,A service was installed in the system. Service: question by user1893,Northern Territory,0
843,user1174,PC-669,4624,An account was successfully logged on. User: user1174 from PC-669,Tasmania,0
844,user1851,PC-785,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-785,Queensland,0
845,user1007,PC-701,4625,An account was locked out. User: user1007,Victoria,0
846,user1126,PC-132,1116,Scheduled task created. Name: keep by user1126,South Australia,0
847,user1423,PC-503,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-503,New South Wales,0
848,user1951,PC-919,4698,An account was successfully logged on. User: user1951 from PC-919,South Australia,0
849,user1103,PC-227,4698,A service was installed in the system. Service: drive by user1103,Queensland,0
850,user1687,PC-299,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-299,New South Wales,0
851,user1959,PC-566,1116,A service was installed in the system. Service: call by user1959,South Australia,0
852,user1080,PC-407,4698,An account was locked out. User: user1080,ACT,0
853,user1081,PC-385,7045,An account was locked out. User: user1081,Queensland,0
854,user1138,PC-715,4697,An account was locked out. User: user1138,Western Australia,0
855,user1720,PC-667,4624,A service was installed in the system. Service: material by user1720,New South Wales,0
856,user1399,PC-634,7045,A logon attempt was made using explicit credentials. User: user1399,New South Wales,0
857,user1923,PC-950,4624,An account was locked out. User: user1923,Tasmania,0
858,user1971,PC-150,7045,A service was installed in the system. Service: back by user1971,ACT,0
859,user1500,PC-299,4625,A logon attempt was made using explicit credentials. User: user1500,ACT,0
861,user1146,PC-869,4624,Scheduled task created. Name: happen by user1146,Northern Territory,0
862,user1209,PC-764,1116,A service was installed in the system. Service: think by user1209,Victoria,0
863,user1195,PC-655,4624,An account was locked out. User: user1195,Victoria,0
864,user1156,PC-538,1116,An account was locked out. User: user1156,Northern Territory,0
865,user1635,PC-632,7045,A service was installed in the system. Service: vote by user1635,New South Wales,0
866,user1303,PC-297,7045,An account was locked out. User: user1303,Tasmania,0
867,user1934,PC-553,7045,An account was locked out. User: user1934,Western Australia,0
868,user1086,PC-204,1116,A logon attempt was made using explicit credentials. User: user1086,ACT,0
869,user1866,PC-485,1116,An account was locked out. User: user1866,South Australia,0
870,user1592,PC-452,4625,Malware alert from Defender. Detection: Worm:Win32 on PC-452,Northern Territory,0
872,user1269,PC-290,7045,An account was successfully logged on. User: user1269 from PC-290,Queensland,0
873,user1955,PC-147,1116,A service was installed in the system. Service: my by user1955,Western Australia,0
874,user1292,PC-572,4624,An account was locked out. User: user1292,New South Wales,0
876,user1460,PC-245,4625,An account was successfully logged on. User: user1460 from PC-245,New South Wales,0
878,user1261,PC-957,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-957,Tasmania,0
879,user1935,PC-289,7045,Malware alert from Defender. Detection: Worm:Win32 on PC-289,Tasmania,0
880,user1172,PC-130,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-130,New South Wales,0
881,user1948,PC-979,4624,Scheduled task created. Name: contain by user1948,Queensland,0
882,user1181,PC-437,4697,An account was successfully logged on. User: user1181 from PC-437,New South Wales,0
883,user1551,PC-296,4698,Scheduled task created. Name: figure by user1551,Tasmania,0
885,user1407,PC-454,4624,An account was locked out. User: user1407,Northern Territory,0
886,user1857,PC-157,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-157,Queensland,0
887,user1990,PC-590,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-590,Western Australia,0
888,user1329,PC-871,7045,An account was successfully logged on. User: user1329 from PC-871,New South Wales,0
889,user1947,PC-207,4697,An account was locked out. User: user1947,South Australia,0
890,user1566,PC-343,4698,Malware alert from Defender. Detection: Worm:Win32 on PC-343,Western Australia,0
891,user1876,PC-231,4624,An account was locked out. User: user1876,Victoria,0
892,user1160,PC-401,7045,An account was successfully logged on. User: user1160 from PC-401,Queensland,0
893,user1629,PC-694,1116,An account was locked out. User: user1629,ACT,0
895,user1498,PC-200,4698,Scheduled task created. Name: particularly by user1498,Victoria,0
896,user1582,PC-302,7045,An account was locked out. User: user1582,South Australia,0
897,user1045,PC-194,7045,An account was locked out. User: user1045,ACT,0
899,user1742,PC-312,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-312,Victoria,0
900,user1715,PC-347,4697,A logon attempt was made using explicit credentials. User: user1715,Queensland,0
901,user1038,PC-296,1116,An account was locked out. User: user1038,Northern Territory,0
902,user1083,PC-992,4625,An account was successfully logged on. User: user1083 from PC-992,South Australia,0
903,user1784,PC-760,1116,An account was successfully logged on. User: user1784 from PC-760,Tasmania,0
904,user1700,PC-577,7045,A service was installed in the system. Service: meeting by user1700,South Australia,0
906,user1980,PC-664,4698,An account was locked out. User: user1980,South Australia,0
907,user1584,PC-806,4697,A logon attempt was made using explicit credentials. User: user1584,South Australia,0
911,user1718,PC-817,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-817,South Australia,0
912,user1215,PC-746,4625,A service was installed in the system. Service: wide by user1215,South Australia,0
913,user1703,PC-805,4698,A logon attempt was made using explicit credentials. User: user1703,Tasmania,0
914,user1113,PC-617,7045,A logon attempt was made using explicit credentials. User: user1113,Queensland,0
915,user1951,PC-440,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-440,South Australia,0
916,user1040,PC-186,7045,Malware alert from Defender. Detection: Worm:Win32 on PC-186,South Australia,0
918,user1052,PC-844,4624,An account was successfully logged on. User: user1052 from PC-844,Western Australia,0
919,user1760,PC-169,1116,A logon attempt was made using explicit credentials. User: user1760,ACT,0
920,user1423,PC-383,4625,An account was locked out. User: user1423,New South Wales,0
922,user1209,PC-225,1116,Scheduled task created. Name: official by user1209,Victoria,0
923,user1304,PC-727,4625,A logon attempt was made using explicit credentials. User: user1304,Western Australia,0
924,user1472,PC-829,4698,An account was locked out. User: user1472,Northern Territory,0
925,user1213,PC-566,4624,A logon attempt was made using explicit credentials. User: user1213,Victoria,0
926,user1702,PC-672,4697,An account was successfully logged on. User: user1702 from PC-672,Northern Territory,0
928,user1636,PC-739,4698,Scheduled task created. Name: but by user1636,ACT,0
929,user1116,PC-485,4698,An account was locked out. User: user1116,ACT,0
930,user1233,PC-939,4625,An account was successfully logged on. User: user1233 from PC-939,Queensland,0
931,user1128,PC-536,4624,Scheduled task created. Name: civil by user1128,Queensland,0
932,user1271,PC-635,4697,Scheduled task created. Name: it by user1271,Western Australia,0
933,user1287,PC-142,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-142,New South Wales,0
934,user1889,PC-655,7045,A logon attempt was made using explicit credentials. User: user1889,New South Wales,0
935,user1289,PC-986,4624,An account was locked out. User: user1289,Northern Territory,0
936,user1978,PC-877,7045,An account was locked out. User: user1978,Tasmania,0
937,user1505,PC-797,1116,An account was successfully logged on. User: user1505 from PC-797,South Australia,0
938,user1150,PC-147,4697,Scheduled task created. Name: really by user1150,Victoria,0
939,user1396,PC-900,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-900,Tasmania,0
941,user1689,PC-742,4625,Scheduled task created. Name: field by user1689,Tasmania,0
942,user1235,PC-401,4698,A service was installed in the system. Service: lot by user1235,Western Australia,0
943,user1295,PC-413,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-413,South Australia,0
944,user1081,PC-245,4698,Scheduled task created. Name: simple by user1081,Queensland,0
945,user1604,PC-964,7045,Scheduled task created. Name: poor by user1604,Northern Territory,0
947,user1634,PC-472,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-472,ACT,0
948,user1861,PC-967,1116,An account was locked out. User: user1861,Western Australia,0
949,user1611,PC-336,4698,A service was installed in the system. Service: card by user1611,South Australia,0
950,user1790,PC-887,4624,A logon attempt was made using explicit credentials. User: user1790,South Australia,0
952,user1578,PC-598,4698,A service was installed in the system. Service: necessary by user1578,Victoria,0
953,user1833,PC-810,7045,A service was installed in the system. Service: director by user1833,Western Australia,0
954,user1757,PC-815,7045,An account was locked out. User: user1757,South Australia,0
955,user1949,PC-709,4624,A logon attempt was made using explicit credentials. User: user1949,ACT,0
956,user1230,PC-716,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-716,New South Wales,0
957,user1384,PC-663,7045,A service was installed in the system. Service: their by user1384,Northern Territory,0
958,user1583,PC-219,4697,Scheduled task created. Name: notice by user1583,Victoria,0
959,user1069,PC-143,4624,A service was installed in the system. Service: source by user1069,Victoria,0
960,user1875,PC-102,4625,A logon attempt was made using explicit credentials. User: user1875,ACT,0
962,user1249,PC-967,4698,A service was installed in the system. Service: contain by user1249,Northern Territory,0
963,user1304,PC-571,4698,An account was locked out. User: user1304,Western Australia,0
964,user1627,PC-259,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-259,Queensland,0
965,user1372,PC-113,4697,A logon attempt was made using explicit credentials. User: user1372,Queensland,0
966,user1989,PC-162,4624,An account was locked out. User: user1989,Northern Territory,0
968,user1903,PC-524,4697,A logon attempt was made using explicit credentials. User: user1903,Northern Territory,0
969,user1208,PC-775,7045,A service was installed in the system. Service: personal by user1208,Western Australia,0
970,user1688,PC-107,4624,A logon attempt was made using explicit credentials. User: user1688,Tasmania,0
971,user1209,PC-576,4625,An account was locked out. User: user1209,Victoria,0
972,user1915,PC-765,1116,A logon attempt was made using explicit credentials. User: user1915,South Australia,0
973,user1305,PC-720,4625,An account was successfully logged on. User: user1305 from PC-720,Western Australia,0
974,user1023,PC-764,4625,An account was locked out. User: user1023,Western Australia,0
976,user1390,PC-614,7045,A logon attempt was made using explicit credentials. User: user1390,Tasmania,0
977,user1770,PC-536,4697,A service was installed in the system. Service: scene by user1770,Tasmania,0
979,user1638,PC-652,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-652,ACT,0
980,user1502,PC-360,1116,A service was installed in the system. Service: officer by user1502,Victoria,0
982,user1558,PC-104,4624,A logon attempt was made using explicit credentials. User: user1558,ACT,0
983,user1191,PC-477,7045,Scheduled task created. Name: rule by user1191,Tasmania,0
984,user1181,PC-307,4697,A service was installed in the system. Service: health by user1181,New South Wales,0
985,user1817,PC-159,1116,Scheduled task created. Name: body by user1817,Northern Territory,0
986,user1204,PC-631,1116,An account was successfully logged on. User: user1204 from PC-631,Queensland,0
987,user1323,PC-514,4698,A logon attempt was made using explicit credentials. User: user1323,South Australia,0
989,user1580,PC-191,4697,A service was installed in the system. Service: range by user1580,Victoria,0
990,user1619,PC-954,4624,A logon attempt was made using explicit credentials. User: user1619,South Australia,0
991,user1974,PC-939,4698,An account was locked out. User: user1974,Queensland,0
992,user1075,PC-176,4697,A logon attempt was made using explicit credentials. User: user1075,Northern Territory,0
993,user1054,PC-288,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-288,Western Australia,0
994,user1765,PC-776,4698,An account was locked out. User: user1765,Queensland,0
995,user1478,PC-627,4697,An account was locked out. User: user1478,New South Wales,0
996,user1717,PC-454,1116,Scheduled task created. Name: customer by user1717,Victoria,0
997,user1543,PC-179,4625,An account was successfully logged on. User: user1543 from PC-179,Western Australia,0
998,user1197,PC-820,4624,Scheduled task created. Name: last by user1197,Tasmania,0
999,user1772,PC-153,4624,A logon attempt was made using explicit credentials. User: user1772,Victoria,0
1001,user1642,PC-780,4698,Scheduled task created. Name: race by user1642,ACT,0
1003,user1324,PC-649,4698,An account was successfully logged on. User: user1324 from PC-649,Tasmania,0
1004,user1008,PC-883,7045,A service was installed in the system. Service: first by user1008,Western Australia,0
1005,user1426,PC-379,4698,A service was installed in the system. Service: we by user1426,ACT,0
1006,user1426,PC-661,7045,Scheduled task created. Name: cost by user1426,ACT,0
1008,user1104,PC-122,1116,A logon attempt was made using explicit credentials. User: user1104,Victoria,0
1011,user1375,PC-746,4698,A service was installed in the system. Service: series by user1375,Northern Territory,0
1012,user1069,PC-254,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-254,Victoria,0
1015,user1432,PC-301,4625,A service was installed in the system. Service: Congress by user1432,Victoria,0
1016,user1791,PC-566,4697,A service was installed in the system. Service: pattern by user1791,ACT,0
1017,user1523,PC-283,4625,Scheduled task created. Name: small by user1523,Queensland,0
1018,user1685,PC-342,4625,A logon attempt was made using explicit credentials. User: user1685,Queensland,0
1019,user1016,PC-131,4624,A service was installed in the system. Service: four by user1016,Northern Territory,0
