id,data_subject_id,src_ip,dst_ip,severity,signature,text
662,221.237.31.112->172.20.126.59,221.237.31.112,172.20.126.59,medium,Exploit kit,Exploit kit from 221.237.31.112 targeting 172.20.126.59
663,152.164.134.117->172.24.42.196,152.164.134.117,172.24.42.196,low,Ransomware beacon,Ransomware beacon from 152.164.134.117 targeting 172.24.42.196
664,208.173.71.247->192.168.53.39,208.173.71.247,192.168.53.39,high,Ransomware beacon,Ransomware beacon from 208.173.71.247 targeting 192.168.53.39
665,68.47.239.78->172.24.117.158,68.47.239.78,172.24.117.158,low,Port scan,Port scan from 68.47.239.78 targeting 172.24.117.158
666,88.247.120.107->10.209.218.77,88.247.120.107,10.209.218.77,medium,Exploit kit,Exploit kit from 88.247.120.107 targeting 10.209.218.77
667,219.17.115.82->192.168.170.55,219.17.115.82,192.168.170.55,critical,SQLi attempt,SQLi attempt from 219.17.115.82 targeting 192.168.170.55
668,100.181.124.215->172.29.38.165,100.181.124.215,172.29.38.165,medium,C2 traffic,C2 traffic from 100.181.124.215 targeting 172.29.38.165
669,188.223.15.173->10.116.213.22,188.223.15.173,10.116.213.22,low,Port scan,Port scan from 188.223.15.173 targeting 10.116.213.22
670,202.144.197.226->192.168.99.21,202.144.197.226,192.168.99.21,low,Exploit kit,Exploit kit from 202.144.197.226 targeting 192.168.99.21
671,221.236.65.107->172.26.249.10,221.236.65.107,172.26.249.10,critical,C2 traffic,C2 traffic from 221.236.65.107 targeting 172.26.249.10
672,223.178.76.243->172.28.115.219,223.178.76.243,172.28.115.219,low,Ransomware beacon,Ransomware beacon from 223.178.76.243 targeting 172.28.115.219
673,215.220.109.81->172.27.80.79,215.220.109.81,172.27.80.79,high,Exploit kit,Exploit kit from 215.220.109.81 targeting 172.27.80.79
674,223.219.17.180->192.168.189.172,223.219.17.180,192.168.189.172,low,Exploit kit,Exploit kit from 223.219.17.180 targeting 192.168.189.172
675,99.235.94.19->172.16.152.24,99.235.94.19,172.16.152.24,critical,Port scan,Port scan from 99.235.94.19 targeting 172.16.152.24
676,12.153.254.54->172.26.179.208,12.153.254.54,172.26.179.208,high,Port scan,Port scan from 12.153.254.54 targeting 172.26.179.208
677,221.221.116.158->172.21.135.237,221.221.116.158,172.21.135.237,high,Port scan,Port scan from 221.221.116.158 targeting 172.21.135.237
678,22.234.101.128->10.159.41.153,22.234.101.128,10.159.41.153,medium,SQLi attempt,SQLi attempt from 22.234.101.128 targeting 10.159.41.153
679,193.230.96.160->172.29.35.182,193.230.96.160,172.29.35.182,low,Ransomware beacon,Ransomware beacon from 193.230.96.160 targeting 172.29.35.182
680,101.62.63.7->172.31.167.135,101.62.63.7,172.31.167.135,high,SQLi attempt,SQLi attempt from 101.62.63.7 targeting 172.31.167.135
681,201.3.154.130->172.31.240.77,201.3.154.130,172.31.240.77,critical,SQLi attempt,SQLi attempt from 201.3.154.130 targeting 172.31.240.77
682,78.222.172.142->172.16.169.254,78.222.172.142,172.16.169.254,medium,C2 traffic,C2 traffic from 78.222.172.142 targeting 172.16.169.254
683,202.127.129.110->10.238.144.70,202.127.129.110,10.238.144.70,high,Port scan,Port scan from 202.127.129.110 targeting 10.238.144.70
684,106.0.7.137->172.24.106.214,106.0.7.137,172.24.106.214,medium,SQLi attempt,SQLi attempt from 106.0.7.137 targeting 172.24.106.214
685,88.145.97.16->172.22.227.45,88.145.97.16,172.22.227.45,critical,Exploit kit,Exploit kit from 88.145.97.16 targeting 172.22.227.45
686,109.253.254.242->172.16.199.61,109.253.254.242,172.16.199.61,medium,Port scan,Port scan from 109.253.254.242 targeting 172.16.199.61
687,209.252.53.186->192.168.78.109,209.252.53.186,192.168.78.109,critical,Exploit kit,Exploit kit from 209.252.53.186 targeting 192.168.78.109
688,217.62.22.106->192.168.32.37,217.62.22.106,192.168.32.37,critical,Port scan,Port scan from 217.62.22.106 targeting 192.168.32.37
689,203.97.62.227->172.16.12.160,203.97.62.227,172.16.12.160,low,SQLi attempt,SQLi attempt from 203.97.62.227 targeting 172.16.12.160
690,166.246.42.175->172.16.196.185,166.246.42.175,172.16.196.185,low,Port scan,Port scan from 166.246.42.175 targeting 172.16.196.185
691,166.83.20.175->172.21.231.118,166.83.20.175,172.21.231.118,low,C2 traffic,C2 traffic from 166.83.20.175 targeting 172.21.231.118
692,38.52.143.207->10.112.4.142,38.52.143.207,10.112.4.142,critical,SQLi attempt,SQLi attempt from 38.52.143.207 targeting 10.112.4.142
693,183.65.67.103->172.29.36.199,183.65.67.103,172.29.36.199,medium,C2 traffic,C2 traffic from 183.65.67.103 targeting 172.29.36.199
694,174.128.92.33->192.168.62.57,174.128.92.33,192.168.62.57,medium,SQLi attempt,SQLi attempt from 174.128.92.33 targeting 192.168.62.57
695,207.32.215.229->172.19.96.63,207.32.215.229,172.19.96.63,high,Ransomware beacon,Ransomware beacon from 207.32.215.229 targeting 172.19.96.63
696,92.127.91.105->192.168.253.206,92.127.91.105,192.168.253.206,medium,Ransomware beacon,Ransomware beacon from 92.127.91.105 targeting 192.168.253.206
697,156.120.128.106->10.74.163.39,156.120.128.106,10.74.163.39,critical,C2 traffic,C2 traffic from 156.120.128.106 targeting 10.74.163.39
698,116.223.6.94->192.168.109.30,116.223.6.94,192.168.109.30,high,Exploit kit,Exploit kit from 116.223.6.94 targeting 192.168.109.30
699,132.43.78.62->192.168.223.146,132.43.78.62,192.168.223.146,low,Ransomware beacon,Ransomware beacon from 132.43.78.62 targeting 192.168.223.146
700,171.252.178.59->10.93.4.46,171.252.178.59,10.93.4.46,critical,Exploit kit,Exploit kit from 171.252.178.59 targeting 10.93.4.46
701,208.245.133.235->192.168.243.132,208.245.133.235,192.168.243.132,low,C2 traffic,C2 traffic from 208.245.133.235 targeting 192.168.243.132
702,138.23.174.215->192.168.157.52,138.23.174.215,192.168.157.52,high,Port scan,Port scan from 138.23.174.215 targeting 192.168.157.52
703,200.243.159.244->10.28.210.62,200.243.159.244,10.28.210.62,critical,Exploit kit,Exploit kit from 200.243.159.244 targeting 10.28.210.62
704,43.40.113.216->10.102.179.98,43.40.113.216,10.102.179.98,high,Port scan,Port scan from 43.40.113.216 targeting 10.102.179.98
705,88.229.236.92->172.28.252.156,88.229.236.92,172.28.252.156,high,Exploit kit,Exploit kit from 88.229.236.92 targeting 172.28.252.156
706,216.214.75.83->10.108.122.235,216.214.75.83,10.108.122.235,low,Exploit kit,Exploit kit from 216.214.75.83 targeting 10.108.122.235
707,218.205.104.235->172.21.166.64,218.205.104.235,172.21.166.64,medium,Ransomware beacon,Ransomware beacon from 218.205.104.235 targeting 172.21.166.64
708,138.168.130.59->10.241.223.100,138.168.130.59,10.241.223.100,medium,SQLi attempt,SQLi attempt from 138.168.130.59 targeting 10.241.223.100
709,221.249.81.209->192.168.138.96,221.249.81.209,192.168.138.96,medium,Port scan,Port scan from 221.249.81.209 targeting 192.168.138.96
710,179.22.46.173->192.168.175.224,179.22.46.173,192.168.175.224,critical,Port scan,Port scan from 179.22.46.173 targeting 192.168.175.224
711,41.201.152.247->10.238.58.57,41.201.152.247,10.238.58.57,low,Exploit kit,Exploit kit from 41.201.152.247 targeting 10.238.58.57
712,149.126.51.109->172.26.86.46,149.126.51.109,172.26.86.46,high,Ransomware beacon,Ransomware beacon from 149.126.51.109 targeting 172.26.86.46
713,202.86.197.200->10.101.238.97,202.86.197.200,10.101.238.97,critical,Exploit kit,Exploit kit from 202.86.197.200 targeting 10.101.238.97
714,170.225.49.3->10.115.10.249,170.225.49.3,10.115.10.249,low,C2 traffic,C2 traffic from 170.225.49.3 targeting 10.115.10.249
715,205.213.244.120->192.168.217.198,205.213.244.120,192.168.217.198,critical,Exploit kit,Exploit kit from 205.213.244.120 targeting 192.168.217.198
716,143.5.171.187->192.168.27.197,143.5.171.187,192.168.27.197,high,SQLi attempt,SQLi attempt from 143.5.171.187 targeting 192.168.27.197
717,219.222.143.29->172.23.248.34,219.222.143.29,172.23.248.34,low,Exploit kit,Exploit kit from 219.222.143.29 targeting 172.23.248.34
718,135.60.210.70->192.168.245.157,135.60.210.70,192.168.245.157,critical,Port scan,Port scan from 135.60.210.70 targeting 192.168.245.157
719,191.228.187.181->192.168.159.91,191.228.187.181,192.168.159.91,critical,Ransomware beacon,Ransomware beacon from 191.228.187.181 targeting 192.168.159.91
720,186.36.43.168->10.187.10.111,186.36.43.168,10.187.10.111,medium,Exploit kit,Exploit kit from 186.36.43.168 targeting 10.187.10.111
721,215.176.28.120->10.211.174.169,215.176.28.120,10.211.174.169,medium,C2 traffic,C2 traffic from 215.176.28.120 targeting 10.211.174.169
722,193.242.19.80->10.41.18.100,193.242.19.80,10.41.18.100,critical,Port scan,Port scan from 193.242.19.80 targeting 10.41.18.100
723,189.178.77.54->192.168.137.122,189.178.77.54,192.168.137.122,low,Ransomware beacon,Ransomware beacon from 189.178.77.54 targeting 192.168.137.122
724,95.237.48.40->192.168.1.0,95.237.48.40,192.168.1.0,high,Port scan,Port scan from 95.237.48.40 targeting 192.168.1.0
725,180.117.72.14->172.30.109.1,180.117.72.14,172.30.109.1,low,C2 traffic,C2 traffic from 180.117.72.14 targeting 172.30.109.1
726,201.225.208.62->192.168.116.236,201.225.208.62,192.168.116.236,critical,C2 traffic,C2 traffic from 201.225.208.62 targeting 192.168.116.236
727,213.38.197.128->192.168.134.223,213.38.197.128,192.168.134.223,critical,Port scan,Port scan from 213.38.197.128 targeting 192.168.134.223
728,28.26.179.194->192.168.215.95,28.26.179.194,192.168.215.95,critical,Ransomware beacon,Ransomware beacon from 28.26.179.194 targeting 192.168.215.95
729,178.86.60.110->172.23.61.71,178.86.60.110,172.23.61.71,low,Port scan,Port scan from 178.86.60.110 targeting 172.23.61.71
730,126.74.13.4->192.168.191.180,126.74.13.4,192.168.191.180,low,SQLi attempt,SQLi attempt from 126.74.13.4 targeting 192.168.191.180
731,209.190.251.23->10.195.42.236,209.190.251.23,10.195.42.236,critical,Port scan,Port scan from 209.190.251.23 targeting 10.195.42.236
732,215.89.127.209->10.153.153.161,215.89.127.209,10.153.153.161,medium,Ransomware beacon,Ransomware beacon from 215.89.127.209 targeting 10.153.153.161
733,212.8.59.208->172.24.46.72,212.8.59.208,172.24.46.72,critical,Port scan,Port scan from 212.8.59.208 targeting 172.24.46.72
734,158.139.164.136->10.34.245.99,158.139.164.136,10.34.245.99,critical,SQLi attempt,SQLi attempt from 158.139.164.136 targeting 10.34.245.99
735,46.249.183.180->172.22.66.161,46.249.183.180,172.22.66.161,low,Port scan,Port scan from 46.249.183.180 targeting 172.22.66.161
736,221.34.27.136->10.12.134.87,221.34.27.136,10.12.134.87,critical,Port scan,Port scan from 221.34.27.136 targeting 10.12.134.87
737,177.138.118.219->192.168.144.112,177.138.118.219,192.168.144.112,high,C2 traffic,C2 traffic from 177.138.118.219 targeting 192.168.144.112
738,190.177.230.183->172.17.239.131,190.177.230.183,172.17.239.131,high,Exploit kit,Exploit kit from 190.177.230.183 targeting 172.17.239.131
739,106.55.157.198->192.168.153.222,106.55.157.198,192.168.153.222,low,C2 traffic,C2 traffic from 106.55.157.198 targeting 192.168.153.222
740,172.107.15.6->192.168.216.217,172.107.15.6,192.168.216.217,low,C2 traffic,C2 traffic from 172.107.15.6 targeting 192.168.216.217
741,166.109.9.34->10.9.159.91,166.109.9.34,10.9.159.91,critical,Ransomware beacon,Ransomware beacon from 166.109.9.34 targeting 10.9.159.91
742,48.231.213.242->172.31.129.96,48.231.213.242,172.31.129.96,high,Port scan,Port scan from 48.231.213.242 targeting 172.31.129.96
743,199.109.60.248->172.16.130.12,199.109.60.248,172.16.130.12,high,C2 traffic,C2 traffic from 199.109.60.248 targeting 172.16.130.12
744,35.67.129.91->10.31.203.111,35.67.129.91,10.31.203.111,critical,SQLi attempt,SQLi attempt from 35.67.129.91 targeting 10.31.203.111
745,195.42.233.244->172.27.162.91,195.42.233.244,172.27.162.91,critical,Ransomware beacon,Ransomware beacon from 195.42.233.244 targeting 172.27.162.91
746,212.178.184.194->10.220.32.165,212.178.184.194,10.220.32.165,low,Port scan,Port scan from 212.178.184.194 targeting 10.220.32.165
747,201.207.145.241->172.18.92.101,201.207.145.241,172.18.92.101,medium,C2 traffic,C2 traffic from 201.207.145.241 targeting 172.18.92.101
748,25.163.124.163->172.16.209.70,25.163.124.163,172.16.209.70,low,C2 traffic,C2 traffic from 25.163.124.163 targeting 172.16.209.70
749,23.134.158.230->192.168.18.14,23.134.158.230,192.168.18.14,medium,Port scan,Port scan from 23.134.158.230 targeting 192.168.18.14
750,198.158.8.120->10.248.242.205,198.158.8.120,10.248.242.205,critical,Port scan,Port scan from 198.158.8.120 targeting 10.248.242.205
751,195.6.166.41->10.181.77.205,195.6.166.41,10.181.77.205,high,Port scan,Port scan from 195.6.166.41 targeting 10.181.77.205
752,219.59.237.190->172.22.106.176,219.59.237.190,172.22.106.176,high,Port scan,Port scan from 219.59.237.190 targeting 172.22.106.176
753,76.7.232.32->192.168.152.170,76.7.232.32,192.168.152.170,low,Ransomware beacon,Ransomware beacon from 76.7.232.32 targeting 192.168.152.170
754,69.76.73.242->10.119.221.146,69.76.73.242,10.119.221.146,medium,C2 traffic,C2 traffic from 69.76.73.242 targeting 10.119.221.146
755,80.157.151.252->192.168.133.153,80.157.151.252,192.168.133.153,critical,Ransomware beacon,Ransomware beacon from 80.157.151.252 targeting 192.168.133.153
756,70.40.211.140->10.163.235.29,70.40.211.140,10.163.235.29,high,Ransomware beacon,Ransomware beacon from 70.40.211.140 targeting 10.163.235.29
757,146.84.62.57->172.29.104.255,146.84.62.57,172.29.104.255,low,Ransomware beacon,Ransomware beacon from 146.84.62.57 targeting 172.29.104.255
758,204.161.232.182->192.168.248.187,204.161.232.182,192.168.248.187,low,SQLi attempt,SQLi attempt from 204.161.232.182 targeting 192.168.248.187
759,157.233.44.111->172.21.88.191,157.233.44.111,172.21.88.191,medium,Exploit kit,Exploit kit from 157.233.44.111 targeting 172.21.88.191
760,110.25.181.60->192.168.187.110,110.25.181.60,192.168.187.110,low,Port scan,Port scan from 110.25.181.60 targeting 192.168.187.110
761,157.112.110.204->172.25.118.55,157.112.110.204,172.25.118.55,low,Exploit kit,Exploit kit from 157.112.110.204 targeting 172.25.118.55
762,24.122.9.118->172.17.34.91,24.122.9.118,172.17.34.91,critical,C2 traffic,C2 traffic from 24.122.9.118 targeting 172.17.34.91
763,221.145.218.25->192.168.30.65,221.145.218.25,192.168.30.65,critical,Port scan,Port scan from 221.145.218.25 targeting 192.168.30.65
764,73.173.165.22->172.21.62.30,73.173.165.22,172.21.62.30,low,Port scan,Port scan from 73.173.165.22 targeting 172.21.62.30
765,160.104.197.70->172.28.131.242,160.104.197.70,172.28.131.242,medium,C2 traffic,C2 traffic from 160.104.197.70 targeting 172.28.131.242
766,187.33.71.207->172.20.100.221,187.33.71.207,172.20.100.221,critical,SQLi attempt,SQLi attempt from 187.33.71.207 targeting 172.20.100.221
767,57.62.120.248->10.68.85.83,57.62.120.248,10.68.85.83,medium,Ransomware beacon,Ransomware beacon from 57.62.120.248 targeting 10.68.85.83
768,36.35.72.84->192.168.101.229,36.35.72.84,192.168.101.229,high,C2 traffic,C2 traffic from 36.35.72.84 targeting 192.168.101.229
769,2.100.218.92->192.168.90.62,2.100.218.92,192.168.90.62,high,SQLi attempt,SQLi attempt from 2.100.218.92 targeting 192.168.90.62
770,194.108.196.31->10.9.219.182,194.108.196.31,10.9.219.182,critical,Ransomware beacon,Ransomware beacon from 194.108.196.31 targeting 10.9.219.182
771,84.34.28.223->192.168.149.107,84.34.28.223,192.168.149.107,high,Port scan,Port scan from 84.34.28.223 targeting 192.168.149.107
772,159.244.13.124->192.168.107.138,159.244.13.124,192.168.107.138,medium,C2 traffic,C2 traffic from 159.244.13.124 targeting 192.168.107.138
773,176.181.85.25->10.137.220.202,176.181.85.25,10.137.220.202,medium,Ransomware beacon,Ransomware beacon from 176.181.85.25 targeting 10.137.220.202
774,188.170.91.31->10.48.73.159,188.170.91.31,10.48.73.159,critical,SQLi attempt,SQLi attempt from 188.170.91.31 targeting 10.48.73.159
775,157.81.100.141->172.17.178.41,157.81.100.141,172.17.178.41,low,SQLi attempt,SQLi attempt from 157.81.100.141 targeting 172.17.178.41
776,71.181.113.113->172.18.3.82,71.181.113.113,172.18.3.82,high,Ransomware beacon,Ransomware beacon from 71.181.113.113 targeting 172.18.3.82
777,43.39.202.133->10.109.187.88,43.39.202.133,10.109.187.88,medium,C2 traffic,C2 traffic from 43.39.202.133 targeting 10.109.187.88
778,151.214.162.132->172.17.15.208,151.214.162.132,172.17.15.208,low,Ransomware beacon,Ransomware beacon from 151.214.162.132 targeting 172.17.15.208
779,181.141.4.193->172.30.229.247,181.141.4.193,172.30.229.247,low,Port scan,Port scan from 181.141.4.193 targeting 172.30.229.247
780,44.205.12.208->172.21.96.146,44.205.12.208,172.21.96.146,low,Port scan,Port scan from 44.205.12.208 targeting 172.21.96.146
781,106.230.252.249->10.166.168.150,106.230.252.249,10.166.168.150,high,Exploit kit,Exploit kit from 106.230.252.249 targeting 10.166.168.150
782,218.1.61.241->172.28.33.158,218.1.61.241,172.28.33.158,low,SQLi attempt,SQLi attempt from 218.1.61.241 targeting 172.28.33.158
783,186.153.158.129->172.20.73.124,186.153.158.129,172.20.73.124,high,SQLi attempt,SQLi attempt from 186.153.158.129 targeting 172.20.73.124
784,191.152.214.128->172.29.108.120,191.152.214.128,172.29.108.120,critical,C2 traffic,C2 traffic from 191.152.214.128 targeting 172.29.108.120
785,176.216.65.89->192.168.204.126,176.216.65.89,192.168.204.126,high,Ransomware beacon,Ransomware beacon from 176.216.65.89 targeting 192.168.204.126
786,222.119.69.132->10.224.143.107,222.119.69.132,10.224.143.107,medium,Ransomware beacon,Ransomware beacon from 222.119.69.132 targeting 10.224.143.107
787,84.111.138.129->10.146.96.244,84.111.138.129,10.146.96.244,critical,Port scan,Port scan from 84.111.138.129 targeting 10.146.96.244
788,72.151.218.159->172.18.20.31,72.151.218.159,172.18.20.31,critical,Ransomware beacon,Ransomware beacon from 72.151.218.159 targeting 172.18.20.31
789,205.113.157.150->172.28.105.84,205.113.157.150,172.28.105.84,low,Exploit kit,Exploit kit from 205.113.157.150 targeting 172.28.105.84
790,48.30.34.72->10.66.79.109,48.30.34.72,10.66.79.109,high,SQLi attempt,SQLi attempt from 48.30.34.72 targeting 10.66.79.109
791,204.228.89.9->10.233.182.56,204.228.89.9,10.233.182.56,medium,Exploit kit,Exploit kit from 204.228.89.9 targeting 10.233.182.56
792,202.143.12.212->10.101.47.67,202.143.12.212,10.101.47.67,high,Ransomware beacon,Ransomware beacon from 202.143.12.212 targeting 10.101.47.67
793,156.176.62.22->10.25.24.205,156.176.62.22,10.25.24.205,low,SQLi attempt,SQLi attempt from 156.176.62.22 targeting 10.25.24.205
794,218.11.138.80->172.26.193.36,218.11.138.80,172.26.193.36,medium,Port scan,Port scan from 218.11.138.80 targeting 172.26.193.36
795,220.112.57.228->192.168.74.189,220.112.57.228,192.168.74.189,medium,Ransomware beacon,Ransomware beacon from 220.112.57.228 targeting 192.168.74.189
796,173.250.141.87->192.168.225.105,173.250.141.87,192.168.225.105,medium,Port scan,Port scan from 173.250.141.87 targeting 192.168.225.105
797,24.130.82.54->10.247.211.125,24.130.82.54,10.247.211.125,low,Exploit kit,Exploit kit from 24.130.82.54 targeting 10.247.211.125
798,150.248.226.152->10.213.236.190,150.248.226.152,10.213.236.190,medium,SQLi attempt,SQLi attempt from 150.248.226.152 targeting 10.213.236.190
799,205.217.122.79->192.168.50.113,205.217.122.79,192.168.50.113,low,C2 traffic,C2 traffic from 205.217.122.79 targeting 192.168.50.113
800,185.131.109.208->172.21.25.20,185.131.109.208,172.21.25.20,high,Port scan,Port scan from 185.131.109.208 targeting 172.21.25.20
801,189.21.141.131->192.168.32.152,189.21.141.131,192.168.32.152,critical,Port scan,Port scan from 189.21.141.131 targeting 192.168.32.152
802,186.50.65.24->172.23.79.75,186.50.65.24,172.23.79.75,low,SQLi attempt,SQLi attempt from 186.50.65.24 targeting 172.23.79.75
803,137.197.124.156->172.20.35.199,137.197.124.156,172.20.35.199,low,Port scan,Port scan from 137.197.124.156 targeting 172.20.35.199
804,203.99.42.97->172.25.19.90,203.99.42.97,172.25.19.90,critical,C2 traffic,C2 traffic from 203.99.42.97 targeting 172.25.19.90
805,170.101.138.238->10.72.218.124,170.101.138.238,10.72.218.124,low,Ransomware beacon,Ransomware beacon from 170.101.138.238 targeting 10.72.218.124
806,142.23.129.1->172.24.255.118,142.23.129.1,172.24.255.118,high,Port scan,Port scan from 142.23.129.1 targeting 172.24.255.118
807,188.68.50.34->172.22.206.194,188.68.50.34,172.22.206.194,medium,SQLi attempt,SQLi attempt from 188.68.50.34 targeting 172.22.206.194
808,198.126.47.137->172.27.42.21,198.126.47.137,172.27.42.21,low,Ransomware beacon,Ransomware beacon from 198.126.47.137 targeting 172.27.42.21
809,183.246.77.226->192.168.86.96,183.246.77.226,192.168.86.96,high,C2 traffic,C2 traffic from 183.246.77.226 targeting 192.168.86.96
810,91.191.247.154->10.193.65.71,91.191.247.154,10.193.65.71,critical,Ransomware beacon,Ransomware beacon from 91.191.247.154 targeting 10.193.65.71
811,1.62.134.69->10.89.177.144,1.62.134.69,10.89.177.144,high,Ransomware beacon,Ransomware beacon from 1.62.134.69 targeting 10.89.177.144
812,115.220.140.238->192.168.149.113,115.220.140.238,192.168.149.113,high,Exploit kit,Exploit kit from 115.220.140.238 targeting 192.168.149.113
813,179.124.237.197->192.168.228.205,179.124.237.197,192.168.228.205,low,SQLi attempt,SQLi attempt from 179.124.237.197 targeting 192.168.228.205
814,137.119.118.174->172.31.123.118,137.119.118.174,172.31.123.118,medium,C2 traffic,C2 traffic from 137.119.118.174 targeting 172.31.123.118
815,94.167.143.142->192.168.0.92,94.167.143.142,192.168.0.92,low,SQLi attempt,SQLi attempt from 94.167.143.142 targeting 192.168.0.92
816,167.123.17.170->192.168.188.105,167.123.17.170,192.168.188.105,medium,C2 traffic,C2 traffic from 167.123.17.170 targeting 192.168.188.105
817,120.221.162.112->10.177.166.4,120.221.162.112,10.177.166.4,high,Port scan,Port scan from 120.221.162.112 targeting 10.177.166.4
818,139.181.101.243->192.168.146.179,139.181.101.243,192.168.146.179,critical,C2 traffic,C2 traffic from 139.181.101.243 targeting 192.168.146.179
819,94.121.194.61->172.29.95.214,94.121.194.61,172.29.95.214,critical,Ransomware beacon,Ransomware beacon from 94.121.194.61 targeting 172.29.95.214
820,142.244.214.198->10.186.108.125,142.244.214.198,10.186.108.125,low,SQLi attempt,SQLi attempt from 142.244.214.198 targeting 10.186.108.125
821,36.204.193.185->192.168.63.204,36.204.193.185,192.168.63.204,high,C2 traffic,C2 traffic from 36.204.193.185 targeting 192.168.63.204
822,220.152.205.114->10.153.83.83,220.152.205.114,10.153.83.83,critical,Ransomware beacon,Ransomware beacon from 220.152.205.114 targeting 10.153.83.83
823,199.185.185.138->10.97.189.123,199.185.185.138,10.97.189.123,critical,C2 traffic,C2 traffic from 199.185.185.138 targeting 10.97.189.123
824,192.73.183.61->172.23.109.99,192.73.183.61,172.23.109.99,high,Exploit kit,Exploit kit from 192.73.183.61 targeting 172.23.109.99
825,217.242.202.214->10.79.74.254,217.242.202.214,10.79.74.254,high,C2 traffic,C2 traffic from 217.242.202.214 targeting 10.79.74.254
826,135.158.161.227->192.168.48.236,135.158.161.227,192.168.48.236,low,C2 traffic,C2 traffic from 135.158.161.227 targeting 192.168.48.236
827,142.19.78.179->10.198.74.31,142.19.78.179,10.198.74.31,critical,SQLi attempt,SQLi attempt from 142.19.78.179 targeting 10.198.74.31
828,50.162.157.114->192.168.32.16,50.162.157.114,192.168.32.16,medium,Ransomware beacon,Ransomware beacon from 50.162.157.114 targeting 192.168.32.16
829,201.136.190.145->172.16.11.192,201.136.190.145,172.16.11.192,critical,Exploit kit,Exploit kit from 201.136.190.145 targeting 172.16.11.192
830,111.32.105.15->172.18.157.204,111.32.105.15,172.18.157.204,critical,Port scan,Port scan from 111.32.105.15 targeting 172.18.157.204
831,32.123.201.161->192.168.9.143,32.123.201.161,192.168.9.143,critical,SQLi attempt,SQLi attempt from 32.123.201.161 targeting 192.168.9.143
832,136.214.182.184->10.74.140.51,136.214.182.184,10.74.140.51,medium,Ransomware beacon,Ransomware beacon from 136.214.182.184 targeting 10.74.140.51
833,41.7.225.21->10.115.81.213,41.7.225.21,10.115.81.213,medium,C2 traffic,C2 traffic from 41.7.225.21 targeting 10.115.81.213
834,219.228.220.37->172.27.238.238,219.228.220.37,172.27.238.238,high,SQLi attempt,SQLi attempt from 219.228.220.37 targeting 172.27.238.238
835,176.203.118.212->172.31.47.123,176.203.118.212,172.31.47.123,critical,Port scan,Port scan from 176.203.118.212 targeting 172.31.47.123
836,176.52.28.113->172.24.108.42,176.52.28.113,172.24.108.42,high,Ransomware beacon,Ransomware beacon from 176.52.28.113 targeting 172.24.108.42
837,98.89.44.87->192.168.5.15,98.89.44.87,192.168.5.15,high,C2 traffic,C2 traffic from 98.89.44.87 targeting 192.168.5.15
838,80.192.125.95->192.168.73.181,80.192.125.95,192.168.73.181,high,Port scan,Port scan from 80.192.125.95 targeting 192.168.73.181
839,29.32.234.175->192.168.71.224,29.32.234.175,192.168.71.224,medium,Exploit kit,Exploit kit from 29.32.234.175 targeting 192.168.71.224
840,37.131.40.188->192.168.189.59,37.131.40.188,192.168.189.59,critical,C2 traffic,C2 traffic from 37.131.40.188 targeting 192.168.189.59
841,189.76.52.117->172.22.38.6,189.76.52.117,172.22.38.6,low,Port scan,Port scan from 189.76.52.117 targeting 172.22.38.6
842,198.7.155.95->192.168.92.187,198.7.155.95,192.168.92.187,medium,Ransomware beacon,Ransomware beacon from 198.7.155.95 targeting 192.168.92.187
843,206.20.95.67->10.165.35.134,206.20.95.67,10.165.35.134,critical,Port scan,Port scan from 206.20.95.67 targeting 10.165.35.134
844,33.190.112.240->172.31.212.57,33.190.112.240,172.31.212.57,high,SQLi attempt,SQLi attempt from 33.190.112.240 targeting 172.31.212.57
845,198.51.205.57->172.23.42.195,198.51.205.57,172.23.42.195,high,Port scan,Port scan from 198.51.205.57 targeting 172.23.42.195
846,79.138.54.226->192.168.127.254,79.138.54.226,192.168.127.254,high,Ransomware beacon,Ransomware beacon from 79.138.54.226 targeting 192.168.127.254
847,200.187.112.199->10.116.89.6,200.187.112.199,10.116.89.6,critical,Port scan,Port scan from 200.187.112.199 targeting 10.116.89.6
848,69.94.220.198->172.21.58.84,69.94.220.198,172.21.58.84,high,Ransomware beacon,Ransomware beacon from 69.94.220.198 targeting 172.21.58.84
849,196.27.198.193->192.168.225.83,196.27.198.193,192.168.225.83,medium,SQLi attempt,SQLi attempt from 196.27.198.193 targeting 192.168.225.83
850,177.108.24.206->10.32.72.19,177.108.24.206,10.32.72.19,low,SQLi attempt,SQLi attempt from 177.108.24.206 targeting 10.32.72.19
851,220.101.200.108->192.168.117.245,220.101.200.108,192.168.117.245,high,Exploit kit,Exploit kit from 220.101.200.108 targeting 192.168.117.245
852,205.194.141.127->192.168.89.44,205.194.141.127,192.168.89.44,critical,SQLi attempt,SQLi attempt from 205.194.141.127 targeting 192.168.89.44
853,119.178.194.137->192.168.209.236,119.178.194.137,192.168.209.236,critical,SQLi attempt,SQLi attempt from 119.178.194.137 targeting 192.168.209.236
854,19.124.250.241->172.20.31.190,19.124.250.241,172.20.31.190,low,Ransomware beacon,Ransomware beacon from 19.124.250.241 targeting 172.20.31.190
855,220.167.159.32->172.26.154.229,220.167.159.32,172.26.154.229,critical,SQLi attempt,SQLi attempt from 220.167.159.32 targeting 172.26.154.229
